[2026-09-10 09:43:15] START duration_hours=6.0 interval_seconds=5 gateway=192.168.4.1 external_target=8.8.8.8
[2026-09-10 09:53:11] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=22.1ms gateway_error=none internet_error=none
[2026-09-10 09:53:17] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=21.0ms gateway_error=none internet_error=none
[2026-09-10 09:53:22] gateway=OK gateway_rtt=7.0ms internet=OK internet_rtt=21.6ms gateway_error=none internet_error=none
[2026-09-10 09:53:27] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=16.2ms gateway_error=none internet_error=none
[2026-09-10 09:53:32] gateway=OK gateway_rtt=6.0ms internet=OK internet_rtt=20.8ms gateway_error=none internet_error=none
[2026-09-10 09:53:37] gateway=OK gateway_rtt=8.1ms internet=OK internet_rtt=20.6ms gateway_error=none internet_error=none
[2026-09-10 09:53:42] gateway=OK gateway_rtt=8.0ms internet=OK internet_rtt=19.7ms gateway_error=none internet_error=none
[2026-09-10 09:53:47] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=21.7ms gateway_error=none internet_error=none
[2026-09-10 09:53:52] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=19.3ms gateway_error=none internet_error=none
[2026-09-10 09:53:57] gateway=OK gateway_rtt=10.0ms internet=OK internet_rtt=21.8ms gateway_error=none internet_error=none
[2026-09-10 09:54:02] gateway=OK gateway_rtt=7.5ms internet=OK internet_rtt=19.9ms gateway_error=none internet_error=none
[2026-09-10 09:54:07] gateway=OK gateway_rtt=9.0ms internet=OK internet_rtt=17.5ms gateway_error=none internet_error=none
[2026-09-10 09:54:12] gateway=OK gateway_rtt=6.9ms internet=OK internet_rtt=20.5ms gateway_error=none internet_error=none
[2026-09-10 09:54:17] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=17.7ms gateway_error=none internet_error=none
[2026-09-10 09:54:22] gateway=OK gateway_rtt=7.6ms internet=OK internet_rtt=20.5ms gateway_error=none internet_error=none
[2026-09-10 09:54:27] gateway=OK gateway_rtt=7.2ms internet=OK internet_rtt=19.0ms gateway_error=none internet_error=none
[2026-09-10 09:54:32] gateway=OK gateway_rtt=8.2ms internet=OK internet_rtt=22.8ms gateway_error=none internet_error=none
[2026-09-10 09:54:37] gateway=OK gateway_rtt=6.9ms internet=OK internet_rtt=18.6ms gateway_error=none internet_error=none
[2026-09-10 09:54:42] gateway=OK gateway_rtt=7.6ms internet=OK internet_rtt=19.4ms gateway_error=none internet_error=none
[2026-09-10 09:54:47] gateway=OK gateway_rtt=6.1ms internet=OK internet_rtt=23.5ms gateway_error=none internet_error=none
[2026-09-10 09:54:53] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=18.5ms gateway_error=none internet_error=none
[2026-09-10 09:54:58] gateway=OK gateway_rtt=8.7ms internet=OK internet_rtt=15.4ms gateway_error=none internet_error=none
[2026-09-10 09:55:03] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=21.0ms gateway_error=none internet_error=none
[2026-09-10 09:55:08] gateway=OK gateway_rtt=8.4ms internet=OK internet_rtt=21.2ms gateway_error=none internet_error=none
[2026-09-10 09:55:13] gateway=OK gateway_rtt=11.1ms internet=OK internet_rtt=21.6ms gateway_error=none internet_error=none
[2026-09-10 09:55:18] gateway=OK gateway_rtt=9.0ms internet=OK internet_rtt=17.7ms gateway_error=none internet_error=none
[2026-09-10 09:55:23] gateway=OK gateway_rtt=6.2ms internet=OK internet_rtt=18.3ms gateway_error=none internet_error=none
[2026-09-10 09:55:28] gateway=OK gateway_rtt=5.9ms internet=OK internet_rtt=13.2ms gateway_error=none internet_error=none
[2026-09-10 09:55:33] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=19.9ms gateway_error=none internet_error=none
[2026-09-10 09:55:38] gateway=OK gateway_rtt=8.7ms internet=OK internet_rtt=20.1ms gateway_error=none internet_error=none
[2026-09-10 09:55:43] gateway=OK gateway_rtt=7.9ms internet=OK internet_rtt=26.7ms gateway_error=none internet_error=none
[2026-09-10 09:55:48] gateway=OK gateway_rtt=7.0ms internet=OK internet_rtt=21.9ms gateway_error=none internet_error=none
[2026-09-10 09:55:53] gateway=OK gateway_rtt=7.2ms internet=OK internet_rtt=22.3ms gateway_error=none internet_error=none
[2026-09-10 09:55:58] gateway=OK gateway_rtt=6.9ms internet=OK internet_rtt=19.0ms gateway_error=none internet_error=none
[2026-09-10 09:56:03] gateway=OK gateway_rtt=8.0ms internet=OK internet_rtt=19.5ms gateway_error=none internet_error=none
[2026-09-10 09:56:08] gateway=OK gateway_rtt=6.6ms internet=FAIL internet_rtt=N/A gateway_error=none internet_error=ping command timed out
[2026-09-10 09:56:08] EVENT_START type=INTERNET_ONLY gateway=OK internet=FAIL
[2026-09-10 09:56:18] gateway=OK gateway_rtt=7.9ms internet=OK internet_rtt=20.0ms gateway_error=none internet_error=none
[2026-09-10 09:56:18] EVENT_END type=INTERNET_ONLY duration=10s gateway=OK internet=OK
