[2026-09-08 10:49:39] START duration_hours=6 interval_seconds=5 gateway=192.168.4.1 external_target=8.8.8.8
[2026-09-08 10:55:43] gateway=OK gateway_rtt=8.6ms internet=OK internet_rtt=18.4ms gateway_error=none internet_error=none
[2026-09-08 10:55:48] gateway=OK gateway_rtt=5.7ms internet=OK internet_rtt=19.5ms gateway_error=none internet_error=none
[2026-09-08 10:55:53] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=22.8ms gateway_error=none internet_error=none
[2026-09-08 10:55:58] gateway=OK gateway_rtt=6.9ms internet=OK internet_rtt=18.5ms gateway_error=none internet_error=none
[2026-09-08 10:56:03] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=22.2ms gateway_error=none internet_error=none
[2026-09-08 10:56:08] gateway=OK gateway_rtt=7.6ms internet=OK internet_rtt=18.1ms gateway_error=none internet_error=none
[2026-09-08 10:56:13] gateway=OK gateway_rtt=8.3ms internet=FAIL internet_rtt=N/A gateway_error=none internet_error=ping command timed out
[2026-09-08 10:56:13] EVENT_START type=INTERNET_ONLY gateway=OK internet=FAIL
[2026-09-08 10:56:23] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=25.2ms gateway_error=none internet_error=none
[2026-09-08 10:56:23] EVENT_END type=INTERNET_ONLY duration=10s gateway=OK internet=OK
[2026-09-08 10:56:28] gateway=OK gateway_rtt=12.4ms internet=OK internet_rtt=23.7ms gateway_error=none internet_error=none
[2026-09-08 10:56:33] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=24.0ms gateway_error=none internet_error=none
[2026-09-08 10:56:38] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=19.5ms gateway_error=none internet_error=none
[2026-09-08 10:56:43] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=16.9ms gateway_error=none internet_error=none
[2026-09-08 10:56:48] gateway=OK gateway_rtt=7.6ms internet=OK internet_rtt=20.7ms gateway_error=none internet_error=none
[2026-09-08 10:56:53] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=19.6ms gateway_error=none internet_error=none
[2026-09-08 10:56:58] gateway=OK gateway_rtt=8.4ms internet=OK internet_rtt=18.7ms gateway_error=none internet_error=none
[2026-09-08 10:57:03] gateway=OK gateway_rtt=9.9ms internet=OK internet_rtt=20.3ms gateway_error=none internet_error=none
[2026-09-08 10:57:09] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=17.2ms gateway_error=none internet_error=none
[2026-09-08 10:57:14] gateway=OK gateway_rtt=8.2ms internet=OK internet_rtt=17.6ms gateway_error=none internet_error=none
[2026-09-08 10:57:19] gateway=OK gateway_rtt=10.4ms internet=OK internet_rtt=18.5ms gateway_error=none internet_error=none
[2026-09-08 10:57:24] gateway=OK gateway_rtt=6.7ms internet=OK internet_rtt=18.3ms gateway_error=none internet_error=none
[2026-09-08 10:57:29] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=17.2ms gateway_error=none internet_error=none
[2026-09-08 10:57:34] gateway=OK gateway_rtt=94.7ms internet=OK internet_rtt=21.9ms gateway_error=none internet_error=none
[2026-09-08 10:57:39] gateway=OK gateway_rtt=8.7ms internet=OK internet_rtt=21.3ms gateway_error=none internet_error=none
[2026-09-08 10:57:44] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=18.7ms gateway_error=none internet_error=none
[2026-09-08 10:57:49] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=19.2ms gateway_error=none internet_error=none
[2026-09-08 10:57:54] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=22.5ms gateway_error=none internet_error=none
[2026-09-08 10:57:59] gateway=OK gateway_rtt=9.7ms internet=OK internet_rtt=16.4ms gateway_error=none internet_error=none
[2026-09-08 10:58:04] gateway=OK gateway_rtt=6.8ms internet=OK internet_rtt=22.1ms gateway_error=none internet_error=none
[2026-09-08 10:58:09] gateway=OK gateway_rtt=6.7ms internet=OK internet_rtt=19.4ms gateway_error=none internet_error=none
[2026-09-08 10:58:14] gateway=OK gateway_rtt=7.5ms internet=OK internet_rtt=100.3ms gateway_error=none internet_error=none
[2026-09-08 10:58:19] gateway=OK gateway_rtt=7.6ms internet=OK internet_rtt=20.0ms gateway_error=none internet_error=none
[2026-09-08 10:58:24] gateway=OK gateway_rtt=89.7ms internet=OK internet_rtt=20.7ms gateway_error=none internet_error=none
[2026-09-08 10:58:30] gateway=OK gateway_rtt=8.2ms internet=OK internet_rtt=20.3ms gateway_error=none internet_error=none
[2026-09-08 10:58:35] gateway=OK gateway_rtt=13.0ms internet=OK internet_rtt=22.4ms gateway_error=none internet_error=none
[2026-09-08 10:58:40] gateway=OK gateway_rtt=6.4ms internet=OK internet_rtt=22.7ms gateway_error=none internet_error=none
[2026-09-08 10:58:45] gateway=OK gateway_rtt=7.5ms internet=OK internet_rtt=20.0ms gateway_error=none internet_error=none
[2026-09-08 10:58:50] gateway=OK gateway_rtt=7.2ms internet=OK internet_rtt=18.5ms gateway_error=none internet_error=none
[2026-09-08 10:58:55] gateway=OK gateway_rtt=8.9ms internet=OK internet_rtt=19.0ms gateway_error=none internet_error=none
[2026-09-08 10:59:00] gateway=OK gateway_rtt=8.6ms internet=OK internet_rtt=20.1ms gateway_error=none internet_error=none
[2026-09-08 10:59:05] gateway=OK gateway_rtt=8.0ms internet=OK internet_rtt=22.2ms gateway_error=none internet_error=none
[2026-09-08 10:59:10] gateway=OK gateway_rtt=7.5ms internet=OK internet_rtt=24.8ms gateway_error=none internet_error=none
[2026-09-08 10:59:15] gateway=OK gateway_rtt=7.0ms internet=OK internet_rtt=21.8ms gateway_error=none internet_error=none
[2026-09-08 10:59:20] gateway=OK gateway_rtt=7.2ms internet=OK internet_rtt=22.3ms gateway_error=none internet_error=none
[2026-09-08 10:59:25] gateway=OK gateway_rtt=8.3ms internet=OK internet_rtt=18.9ms gateway_error=none internet_error=none
[2026-09-08 10:59:30] gateway=OK gateway_rtt=6.5ms internet=OK internet_rtt=19.6ms gateway_error=none internet_error=none
[2026-09-08 10:59:35] gateway=OK gateway_rtt=7.6ms internet=OK internet_rtt=19.3ms gateway_error=none internet_error=none
[2026-09-08 10:59:40] gateway=OK gateway_rtt=6.3ms internet=OK internet_rtt=23.1ms gateway_error=none internet_error=none
[2026-09-08 10:59:45] gateway=OK gateway_rtt=6.6ms internet=OK internet_rtt=21.2ms gateway_error=none internet_error=none
