[SUMMARY] Log file: /Volumes/MOVESPEED/myCode/checkInternet/network_monitor_20260908_104939.txt
[SUMMARY] Total outage events detected: 142
[SUMMARY] Event 61: type=INTERNET_ONLY | start=2026-09-08 13:03:38 | end=2026-09-08 13:03:48 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 62: type=INTERNET_ONLY | start=2026-09-08 13:04:49 | end=2026-09-08 13:04:59 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 63: type=INTERNET_ONLY | start=2026-09-08 13:06:20 | end=2026-09-08 13:06:30 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 64: type=INTERNET_ONLY | start=2026-09-08 13:07:57 | end=2026-09-08 13:08:17 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 65: type=INTERNET_ONLY | start=2026-09-08 13:09:18 | end=2026-09-08 13:09:28 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 66: type=INTERNET_ONLY | start=2026-09-08 13:09:33 | end=2026-09-08 13:09:43 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 67: type=INTERNET_ONLY | start=2026-09-08 13:10:59 | end=2026-09-08 13:11:09 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 68: type=INTERNET_ONLY | start=2026-09-08 13:12:26 | end=2026-09-08 13:12:46 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 69: type=INTERNET_ONLY | start=2026-09-08 13:14:02 | end=2026-09-08 13:14:12 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 70: type=INTERNET_ONLY | start=2026-09-08 13:15:28 | end=2026-09-08 13:15:38 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 71: type=INTERNET_ONLY | start=2026-09-08 13:16:49 | end=2026-09-08 13:17:09 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 72: type=INTERNET_ONLY | start=2026-09-08 13:18:20 | end=2026-09-08 13:18:41 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 73: type=INTERNET_ONLY | start=2026-09-08 13:19:52 | end=2026-09-08 13:20:02 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 74: type=INTERNET_ONLY | start=2026-09-08 13:20:07 | end=2026-09-08 13:20:17 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 75: type=INTERNET_ONLY | start=2026-09-08 13:21:28 | end=2026-09-08 13:21:39 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 76: type=INTERNET_ONLY | start=2026-09-08 13:22:54 | end=2026-09-08 13:23:04 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 77: type=INTERNET_ONLY | start=2026-09-08 13:24:20 | end=2026-09-08 13:24:40 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 78: type=INTERNET_ONLY | start=2026-09-08 13:26:56 | end=2026-09-08 13:27:16 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 79: type=INTERNET_ONLY | start=2026-09-08 13:28:27 | end=2026-09-08 13:28:47 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 80: type=INTERNET_ONLY | start=2026-09-08 13:29:58 | end=2026-09-08 13:30:08 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 81: type=INTERNET_ONLY | start=2026-09-08 13:31:24 | end=2026-09-08 13:31:44 | duration=20s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 82: type=INTERNET_ONLY | start=2026-09-08 13:32:59 | end=2026-09-08 13:33:09 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 83: type=INTERNET_ONLY | start=2026-09-08 13:33:14 | end=2026-09-08 13:33:24 | duration=10s | gateway=OK->OK | internet=FAIL->OK
[SUMMARY] Event 84: type=INTERNET_ONLY | start=2026-09-08 13:44:11 | end=2026-09-08 13:44:21 | duration=10s | gateway=OK->OK | internet=FAIL->OK
